,0,1,2,3,4,5,6,7,chain_break_fraction,energy,num_occurrences
0,1,1,1,-1,-1,-1,-1,-1,0.0,-1.3545486000000002,585
1,1,1,1,1,-1,-1,-1,-1,0.0,-1.3012026000000003,196
2,1,1,1,-1,-1,-1,-1,1,0.0,-1.2286898000000002,73
3,1,1,1,-1,-1,-1,1,1,0.0,-1.2005238,56
4,1,1,1,1,-1,-1,1,1,0.0,-1.1446138,25
5,1,1,1,1,-1,-1,-1,1,0.0,-1.1268262,9
6,-1,1,-1,1,-1,-1,-1,-1,0.0,-1.0957502000000001,10
7,-1,1,1,-1,-1,-1,-1,-1,0.0,-1.0728026,18
8,-1,-1,-1,1,-1,-1,-1,-1,0.0,-1.0566229999999999,6
9,-1,-1,-1,-1,-1,-1,-1,-1,0.0,-1.050497,6
10,-1,-1,1,-1,-1,-1,-1,-1,0.0,-1.0247393999999999,2
11,-1,1,1,1,-1,-1,-1,-1,0.0,-0.9730726000000001,1
12,1,-1,1,-1,-1,-1,-1,-1,0.0,-0.9524454,4
13,1,-1,1,-1,-1,-1,1,1,0.0,-0.948987,5
14,-1,-1,-1,-1,1,1,1,1,0.0,-0.7911742000000002,1
15,1,1,1,1,-1,1,1,1,0.0,-0.7644214,1
16,1,1,1,-1,-1,-1,-1,-1,0.125,-1.3545486000000002,1
17,1,1,1,-1,-1,-1,-1,-1,0.125,-1.3545486000000002,1
